Gene stable ID,Mouse gene stable ID,Mouse gene name,Gene name
ENSMOCG00000000230,ENSMUSG00000029188,Slc34a2,Slc34a2
ENSMOCG00000000231,ENSMUSG00000043670,Diras1,Diras1
ENSMOCG00000000232,ENSMUSG00000030543,Mesp2,Mesp2
ENSMOCG00000000233,,,
ENSMOCG00000000234,ENSMUSG00000038352,Arl5c,Arl5c
ENSMOCG00000000235,ENSMUSG00000052428,Tmco1,Tmco1
ENSMOCG00000000236,ENSMUSG00000042590,Ipo11,Ipo11
ENSMOCG00000000237,ENSMUSG00000033020,Polr2f,Polr2f
ENSMOCG00000000238,ENSMUSG00000041147,Brca2,Brca2
ENSMOCG00000000239,ENSMUSG00000042670,Immp1l,Immp1l
ENSMOCG00000000240,ENSMUSG00000029378,Areg,Areg
ENSMOCG00000000241,ENSMUSG00000029177,Cenpa,Cenpa
ENSMOCG00000000242,ENSMUSG00000015748,Prpf3,Prpf3
ENSMOCG00000000243,ENSMUSG00000061474,Mrps36,
ENSMOCG00000000244,ENSMUSG00000038213,Tapbpl,Tapbpl
ENSMOCG00000000245,ENSMUSG00000002396,Ocel1,Ocel1
ENSMOCG00000000246,ENSMUSG00000072568,Lratd2,Lratd2
ENSMOCG00000000247,ENSMUSG00000026068,Il18rap,Il18rap
ENSMOCG00000000248,,,
ENSMOCG00000000249,ENSMUSG00000038965,Ube2l3,
ENSMOCG00000000250,,,
ENSMOCG00000000251,ENSMUSG00000034850,Tmem127,Tmem127
ENSMOCG00000000252,ENSMUSG00000074673,Ttll9,
ENSMOCG00000000253,,,
ENSMOCG00000000254,ENSMUSG00000042607,Asb4,Asb4
ENSMOCG00000000255,ENSMUSG00000067704,Wfdc13,Wfdc13
ENSMOCG00000000256,ENSMUSG00000015757,Ppil4,
ENSMOCG00000000257,ENSMUSG00000037149,Ddx1,Ddx1
ENSMOCG00000000258,ENSMUSG00000029314,Gpat3,
ENSMOCG00000000259,ENSMUSG00000027544,Nfatc2,Nfatc2
ENSMOCG00000000260,ENSMUSG00000032839,Trpc1,Trpc1
ENSMOCG00000000261,ENSMUSG00000023072,Cep89,Cep89
ENSMOCG00000000262,ENSMUSG00000005360,Slc1a3,Slc1a3
ENSMOCG00000000263,ENSMUSG00000070564,Ntn5,Ntn5
ENSMOCG00000000264,ENSMUSG00000029247,Paics,
ENSMOCG00000000265,ENSMUSG00000028053,Ash1l,Ash1l
ENSMOCG00000000266,ENSMUSG00000020258,Glyctk,Glyctk
ENSMOCG00000000267,ENSMUSG00000038250,Usp38,Usp38
ENSMOCG00000000268,ENSMUSG00000028252,Ccnc,Ccnc
ENSMOCG00000000269,ENSMUSG00000050394,Armcx6,Armcx6
ENSMOCG00000000270,ENSMUSG00000002007,Srpk3,Srpk3
ENSMOCG00000000271,ENSMUSG00000040866,Rsph6a,Rsph6a
ENSMOCG00000000272,ENSMUSG00000045482,Trrap,Trrap
ENSMOCG00000000273,ENSMUSG00000089857,Zfp882,Zfp882
ENSMOCG00000000274,ENSMUSG00000031216,Stard8,Stard8
ENSMOCG00000000275,ENSMUSG00000087408,Cers1,
ENSMOCG00000000275,ENSMUSG00000109523,Gdf1,
ENSMOCG00000000276,ENSMUSG00000034681,Rnps1,
ENSMOCG00000000277,ENSMUSG00000029136,Rbks,Rbks
ENSMOCG00000000278,ENSMUSG00000042082,Arsb,Arsb
ENSMOCG00000000279,ENSMUSG00000033174,Mgll,Mgll
ENSMOCG00000000280,,,
ENSMOCG00000000281,,,
ENSMOCG00000000282,ENSMUSG00000021749,Oit1,Oit1
ENSMOCG00000000283,ENSMUSG00000029153,Ociad2,
ENSMOCG00000000284,ENSMUSG00000031551,Ido1,Ido1
ENSMOCG00000000285,ENSMUSG00000020654,Adcy3,Adcy3
ENSMOCG00000000286,ENSMUSG00000019826,Zbtb24,Zbtb24
ENSMOCG00000000287,ENSMUSG00000078435,AU041133,
ENSMOCG00000000287,ENSMUSG00000096795,Zfp433,
ENSMOCG00000000287,ENSMUSG00000062101,Zfp119b,
ENSMOCG00000000287,ENSMUSG00000003198,Zfp959,
ENSMOCG00000000287,ENSMUSG00000096856,Gm10778,
ENSMOCG00000000287,ENSMUSG00000094076,Gm4767,
ENSMOCG00000000287,ENSMUSG00000062931,Zfp938,
ENSMOCG00000000287,ENSMUSG00000112640,Gm32687,
ENSMOCG00000000287,ENSMUSG00000057835,Zfp119a,
ENSMOCG00000000288,ENSMUSG00000038160,Atg5,Atg5
ENSMOCG00000000289,ENSMUSG00000060802,B2m,B2m
ENSMOCG00000000290,ENSMUSG00000032571,Pik3r4,Pik3r4
ENSMOCG00000000291,ENSMUSG00000073409,H2-Q6,
ENSMOCG00000000291,ENSMUSG00000067235,H2-Q10,
ENSMOCG00000000291,ENSMUSG00000079507,H2-Q1,
ENSMOCG00000000291,ENSMUSG00000061232,H2-K1,
ENSMOCG00000000291,ENSMUSG00000073411,H2-D1,
ENSMOCG00000000291,ENSMUSG00000060550,H2-Q7,
ENSMOCG00000000291,ENSMUSG00000035929,H2-Q4,
ENSMOCG00000000291,ENSMUSG00000091705,H2-Q2,
ENSMOCG00000000291,ENSMUSG00000073402,Gm8909,
ENSMOCG00000000292,ENSMUSG00000041343,Ankrd42,Ankrd42
ENSMOCG00000000293,ENSMUSG00000090625,Gm20721,Gm20721
ENSMOCG00000000294,ENSMUSG00000029282,Amtn,Amtn
ENSMOCG00000000295,ENSMUSG00000038369,Ncoa6,
ENSMOCG00000000296,ENSMUSG00000002658,Gtf2f1,Gtf2f1
ENSMOCG00000000297,ENSMUSG00000038252,Ncapd2,
ENSMOCG00000000298,ENSMUSG00000002372,Ranbp3,Ranbp3
ENSMOCG00000000299,ENSMUSG00000040525,Cblc,Cblc
ENSMOCG00000000300,ENSMUSG00000036698,Ago2,Ago2
ENSMOCG00000000301,ENSMUSG00000027999,Pla2g12a,Pla2g12a
ENSMOCG00000000302,ENSMUSG00000026774,Potegl,
ENSMOCG00000000303,ENSMUSG00000074651,Mcidas,Mcidas
ENSMOCG00000000304,ENSMUSG00000053025,Sv2b,Sv2b
ENSMOCG00000000305,ENSMUSG00000021418,Rpp40,Rpp40
ENSMOCG00000000306,ENSMUSG00000022617,Chkb,Chkb
ENSMOCG00000000307,ENSMUSG00000020429,Igfbp1,Igfbp1
ENSMOCG00000000308,ENSMUSG00000079033,Mef2b,Mef2b
ENSMOCG00000000309,ENSMUSG00000072663,Spef2,
ENSMOCG00000000310,ENSMUSG00000024661,Fth1,Fth1
ENSMOCG00000000311,ENSMUSG00000030107,Usp18,Usp18
ENSMOCG00000000312,ENSMUSG00000060487,Samd5,
ENSMOCG00000000313,ENSMUSG00000078970,Wdr92,Wdr92
ENSMOCG00000000314,ENSMUSG00000020642,Rnf144a,Rnf144a
ENSMOCG00000000315,ENSMUSG00000091264,Smim13,Smim13
ENSMOCG00000000316,ENSMUSG00000071347,C1qtnf9,C1qtnf9
ENSMOCG00000000317,ENSMUSG00000021381,Barx1,Barx1
ENSMOCG00000000318,ENSMUSG00000056679,Gpr173,Gpr173
ENSMOCG00000000319,ENSMUSG00000039191,Rbpj,
ENSMOCG00000000320,ENSMUSG00000076434,Wfdc3,Wfdc3
ENSMOCG00000000321,ENSMUSG00000046750,Selenov,Selenov
ENSMOCG00000000322,,,
ENSMOCG00000000323,ENSMUSG00000052142,Rasal3,Rasal3
ENSMOCG00000000324,,,
ENSMOCG00000000325,ENSMUSG00000023883,Phf10,Phf10
ENSMOCG00000000326,ENSMUSG00000085584,Rtl9,Rtl9
ENSMOCG00000000327,ENSMUSG00000058290,Espl1,Espl1
ENSMOCG00000000328,ENSMUSG00000031231,Cox7b,Cox7b
ENSMOCG00000000329,ENSMUSG00000045867,Cradd,Cradd
ENSMOCG00000000330,ENSMUSG00000046962,Zbtb21,
ENSMOCG00000000331,ENSMUSG00000074695,Il22,
ENSMOCG00000000331,ENSMUSG00000090461,Iltifb,
ENSMOCG00000000332,ENSMUSG00000003464,Pex19,Pex19
ENSMOCG00000000333,ENSMUSG00000029260,Ugt2b34,
ENSMOCG00000000334,ENSMUSG00000028188,Spata1,
ENSMOCG00000000335,ENSMUSG00000017802,Retreg3,Retreg3
ENSMOCG00000000336,ENSMUSG00000024454,Hdac3,Hdac3
ENSMOCG00000000337,ENSMUSG00000059623,Olfr39,Olfr39
ENSMOCG00000000338,ENSMUSG00000011267,Zfp296,Zfp296
ENSMOCG00000000339,ENSMUSG00000034923,Ly6g6f,Ly6g6f
ENSMOCG00000000340,,,
ENSMOCG00000000341,ENSMUSG00000049530,Clrn2,Clrn2
ENSMOCG00000000342,ENSMUSG00000031358,Msl3,Msl3
ENSMOCG00000000343,ENSMUSG00000022603,Mroh4,Mroh4
ENSMOCG00000000344,ENSMUSG00000019856,Fam184a,
ENSMOCG00000000345,,,
ENSMOCG00000000346,ENSMUSG00000027566,Psma7,
ENSMOCG00000000347,,,
ENSMOCG00000000348,ENSMUSG00000035606,Ky,Ky
ENSMOCG00000000349,ENSMUSG00000028039,Efna3,Efna3
ENSMOCG00000000350,ENSMUSG00000028932,Psmc2,
ENSMOCG00000000351,ENSMUSG00000024393,Prrc2a,Prrc2a
ENSMOCG00000000352,ENSMUSG00000023913,Pla2g7,Pla2g7
ENSMOCG00000000353,ENSMUSG00000007594,Hapln4,Hapln4
ENSMOCG00000000354,ENSMUSG00000028185,Dnase2b,Dnase2b
ENSMOCG00000000355,ENSMUSG00000035062,Zc4h2,Zc4h2
ENSMOCG00000000356,ENSMUSG00000027569,Mrgbp,Mrgbp
ENSMOCG00000000357,ENSMUSG00000034612,Chst11,Chst11
ENSMOCG00000000358,ENSMUSG00000019731,Slc35e1,
ENSMOCG00000000359,ENSMUSG00000054459,Vsnl1,Vsnl1
ENSMOCG00000000360,ENSMUSG00000017404,Rpl19,
ENSMOCG00000000361,ENSMUSG00000037966,Ninj1,Ninj1
ENSMOCG00000000362,ENSMUSG00000037416,Dmxl1,Dmxl1
ENSMOCG00000000363,ENSMUSG00000024525,Impa2,Impa2
ENSMOCG00000000364,ENSMUSG00000039753,Fbxl5,Fbxl5
ENSMOCG00000000365,ENSMUSG00000074824,Rslcan18,
ENSMOCG00000000365,ENSMUSG00000100235,Gm28557,
ENSMOCG00000000366,,,
ENSMOCG00000000367,ENSMUSG00000068323,Slc4a5,Slc4a5
ENSMOCG00000000368,ENSMUSG00000009394,Syn2,Syn2
ENSMOCG00000000369,ENSMUSG00000021275,Tecpr2,Tecpr2
ENSMOCG00000000370,ENSMUSG00000021211,Akr1c12,
ENSMOCG00000000370,ENSMUSG00000021213,Akr1c13,
ENSMOCG00000000371,ENSMUSG00000057069,Ero1lb,Ero1lb
ENSMOCG00000000372,ENSMUSG00000005763,Cd247,
ENSMOCG00000000373,ENSMUSG00000029149,Krtcap3,Krtcap3
ENSMOCG00000000374,ENSMUSG00000039656,Rxrb,Rxrb
ENSMOCG00000000375,ENSMUSG00000038486,Sv2a,Sv2a
ENSMOCG00000000376,ENSMUSG00000045969,Ing1,
ENSMOCG00000000377,ENSMUSG00000055541,Lair1,
ENSMOCG00000000378,ENSMUSG00000024306,Ccdc178,Ccdc178
ENSMOCG00000000379,ENSMUSG00000013846,St3gal1,St3gal1
ENSMOCG00000000380,ENSMUSG00000038115,Ano2,Ano2
ENSMOCG00000000381,ENSMUSG00000024534,Sncaip,Sncaip
ENSMOCG00000000382,ENSMUSG00000062751,Prss1,
ENSMOCG00000000382,ENSMUSG00000036938,Try5,
ENSMOCG00000000382,ENSMUSG00000071517,Gm10334,
ENSMOCG00000000382,ENSMUSG00000057163,Prss2,
ENSMOCG00000000382,ENSMUSG00000058119,Gm5771,
ENSMOCG00000000382,ENSMUSG00000071521,Try10,
ENSMOCG00000000382,ENSMUSG00000054106,Try4,
