"genes" "Transcript.length..including.UTRs.and.CDS."
"115" "C1qtnf2" 1218
"116" "Gsc2" 645
"117" "Mogs" 2469
"118" "ENSMOCG00000000118" 315
"119" "ENSMOCG00000000119" 519
"120" "ENSMOCG00000000120" 564
"121" "ENSMOCG00000000121" 954
"122" "Polr1a" 5357
"123" "ENSMOCG00000000123" 2115
"124" "Mfsd14b" 1521
"125" "Aktip" 2124
"126" "Olfr570" 858
"127" "Reg3b" 536
"128" "ENSMOCG00000000128" 402
"129" "ENSMOCG00000000129" 594
"130" "Borcs5" 1672
"131" "Emilin2" 3601
"132" "ENSMOCG00000000132" 552
"133" "Oprl1" 2968
"134" "Zxdb" 1734
"135" "Il17a" 468
"136" "Psrc1" 1094
"137" "Rnf150" 1314
"138" "ENSMOCG00000000138" 1877
"139" "Ccdc74a" 1184
"140" "Mettl24" 1249
"141" "Gpank1" 1527
"142" "Rtl5" 1776
"143" "Plscr2" 2134
"144" "Atg14" 3414
"145" "Thap2" 1290
"146" "Gen1" 4089
"147" "Erbin" 6317
"148" "Ints1" 7071
"149" "Slc26a5" 2274
"150" "Zfp746" 3404
"151" "ENSMOCG00000000151" 405
"152" "Tnrc6a" 5694
"153" "Plin3" 1653
"154" "Bcan" 3315
"155" "Lims1" 1014
"156" "Olfr738" 771
"157" "Mrpl32" 890
"158" "Cnksr2" 5770
"159" "ENSMOCG00000000159" 735
"160" "ENSMOCG00000000160" 1038
"161" "ENSMOCG00000000161" 453
"162" "Rundc3b" 3903
"163" "Klf8" 1105
"164" "ENSMOCG00000000164" 950
"165" "Elf1" 3287
"166" "Slc6a5" 2710
"167" "Tpgs1" 1135
"168" "ENSMOCG00000000168" 1398
"169" "Zmat1" 1872
"170" "Stat5a" 2358
"171" "Olfr586" 681
"172" "ENSMOCG00000000172" 1380
"173" "Hdac11" 2496
"174" "Gpatch1" 2787
"175" "Isoc2a" 1048
"176" "Sft2d2" 5381
"177" "ENSMOCG00000000177" 135
"178" "Daglb" 2745
"179" "Parp10" 2874
"180" "Ammecr1" 3404
"181" "B3galnt2" 2828
"182" "ENSMOCG00000000182" 987
"183" "Il17ra" 2571
"184" "ENSMOCG00000000184" 399
"185" "ENSMOCG00000000185" 2014
"186" "Parp3" 2245
"187" "ENSMOCG00000000187" 1532
"188" "ENSMOCG00000000188" 195
"189" "Rala" 2623
"190" "Cox4i2" 649
"191" "Gabrb2" 1839
"192" "Tnmd" 1352
"193" "Zscan25" 2629
"194" "Fam160a2" 3458
"195" "ENSMOCG00000000195" 1804
"196" "ENSMOCG00000000196" 1507
"197" "Vsig4" 759
"198" "Gys2" 3174
"199" "Lyl1" 1693
"200" "ENSMOCG00000000200" 714
"201" "Ces2e" 1491
"202" "Tnrc18" 8598
"203" "Sdha" 2906
"204" "Bloc1s3" 1230
"205" "Anxa9" 1038
"206" "ENSMOCG00000000206" 369
"207" "ENSMOCG00000000207" 930
"208" "ENSMOCG00000000208" 852
"209" "ENSMOCG00000000209" 1888
"210" "Ankrd49" 2527
"211" "Smim18" 490
"212" "Abhd14a" 1398
"213" "ENSMOCG00000000213" 483
"214" "Tbck" 2682
"215" "ENSMOCG00000000215" 1473
"216" "Hr" 5006
"217" "ENSMOCG00000000217" 1608
"218" "ENSMOCG00000000218" 366
"219" "Npffr1" 1509
"220" "Adap1" 2290
"221" "Plxdc2" 1593
"222" "Serpinb13" 1290
"223" "Eif3k" 886
"224" "Cwc25" 2314
"225" "ENSMOCG00000000225" 189
"226" "ENSMOCG00000000226" 624
"227" "ENSMOCG00000000227" 435
"228" "Aplf" 1428
"229" "Pot1b" 1875
"230" "Slc34a2" 2503
"231" "Diras1" 2257
"232" "Mesp2" 1104
"233" "ENSMOCG00000000233" 153
"234" "Arl5c" 517
"235" "Tmco1" 1408
"236" "Ipo11" 4480
"237" "Polr2f" 548
"238" "Brca2" 9843
"239" "Immp1l" 1031
"240" "Areg" 729
"241" "Cenpa" 393
"242" "Prpf3" 2277
"243" "ENSMOCG00000000243" 282
"244" "Tapbpl" 1341
"245" "Ocel1" 354
"246" "Lratd2" 2232
"247" "Il18rap" 1839
"248" "ENSMOCG00000000248" 585
"249" "ENSMOCG00000000249" 450
"250" "ENSMOCG00000000250" 381
"251" "Tmem127" 2984
"252" "ENSMOCG00000000252" 417
"253" "ENSMOCG00000000253" 3399
"254" "Asb4" 3425
"255" "Wfdc13" 243
"256" "ENSMOCG00000000256" 1377
"257" "Ddx1" 2517
"258" "ENSMOCG00000000258" 2870
"259" "Nfatc2" 3096
"260" "Trpc1" 2325
"261" "Cep89" 2097
"262" "Slc1a3" 3982
"263" "Ntn5" 1311
"264" "ENSMOCG00000000264" 834
"265" "Ash1l" 10080
"266" "Glyctk" 2397
"267" "Usp38" 4714
"268" "Ccnc" 816
"269" "Armcx6" 906
"270" "Srpk3" 1695
"271" "Rsph6a" 2290
"272" "Trrap" 11583
"273" "Zfp882" 1662
"274" "Stard8" 4423
"275" "ENSMOCG00000000275" 1196
"276" "ENSMOCG00000000276" 819
"277" "Rbks" 1082
"278" "Arsb" 3983
"279" "Mgll" 4025
"280" "ENSMOCG00000000280" 1589
"281" "ENSMOCG00000000281" 1311
"282" "Oit1" 666
"283" "ENSMOCG00000000283" 620
"284" "Ido1" 1212
"285" "Adcy3" 4824
"286" "Zbtb24" 2194
"287" "ENSMOCG00000000287" 1452
"288" "Atg5" 2135
"289" "B2m" 805
"290" "Pik3r4" 4886
"291" "ENSMOCG00000000291" 1102
"292" "Ankrd42" 2547
"293" "Gm20721" 921
"294" "Amtn" 639
"295" "ENSMOCG00000000295" 1679
"296" "Gtf2f1" 1858
"297" "ENSMOCG00000000297" 4592
"298" "Ranbp3" 2436
"299" "Cblc" 1474
"300" "Ago2" 2577
"301" "Pla2g12a" 1515
"302" "ENSMOCG00000000302" 867
"303" "Mcidas" 1140
"304" "Sv2b" 4815
"305" "Rpp40" 1157
"306" "Chkb" 1772
"307" "Igfbp1" 1497
"308" "Mef2b" 1053
"309" "ENSMOCG00000000309" 5358
"310" "ENSMOCG00000000310" 567
"311" "Usp18" 1540
"312" "Samd5" 522
"313" "Wdr92" 2280
"314" "Rnf144a" 987
"315" "Smim13" 4333
"316" "C1qtnf9" 1179
"317" "Barx1" 843
"318" "Gpr173" 1537
"319" "ENSMOCG00000000319" 1542
"320" "Wfdc3" 393
"321" "Selenov" 951
"322" "ENSMOCG00000000322" 219
"323" "Rasal3" 3117
"324" "ENSMOCG00000000324" 375
"325" "Phf10" 1482
"326" "Rtl9" 4668
"327" "Espl1" 6506
"328" "Cox7b" 502
"329" "Cradd" 603
"330" "ENSMOCG00000000330" 1143
"331" "ENSMOCG00000000331" 540
"332" "Pex19" 1995
"333" "ENSMOCG00000000333" 1483
"334" "ENSMOCG00000000334" 443
"335" "Retreg3" 3115
"336" "Hdac3" 2035
"337" "Olfr39" 957
"338" "Zfp296" 1350
"339" "Ly6g6f" 906
"340" "ENSMOCG00000000340" 1665
"341" "Clrn2" 782
"342" "Msl3" 2382
"343" "Mroh4" 2943
"344" "ENSMOCG00000000344" 1248
"345" "ENSMOCG00000000345" 249
"346" "ENSMOCG00000000346" 993
"347" "ENSMOCG00000000347" 1456
"348" "Ky" 2641
"349" "Efna3" 1733
"350" "ENSMOCG00000000350" 1517
"351" "Prrc2a" 6474
"352" "Pla2g7" 1943
"353" "Hapln4" 3144
"354" "Dnase2b" 1065
"355" "Zc4h2" 2150
"356" "Mrgbp" 1619
"357" "Chst11" 1857
"358" "ENSMOCG00000000358" 3978
"359" "Vsnl1" 2006
"360" "ENSMOCG00000000360" 549
"361" "Ninj1" 1224
"362" "Dmxl1" 9749
"363" "Impa2" 1389
"364" "Fbxl5" 2857
"365" "ENSMOCG00000000365" 1089
"366" "ENSMOCG00000000366" 1092
"367" "Slc4a5" 3117
"368" "Syn2" 1767
"369" "Tecpr2" 6552
"370" "ENSMOCG00000000370" 1396
"371" "Ero1lb" 1563
"372" "ENSMOCG00000000372" 537
"373" "Krtcap3" 882
"374" "Rxrb" 2731
"375" "Sv2a" 3995
"376" "ENSMOCG00000000376" 2030
"377" "ENSMOCG00000000377" 468
"378" "Ccdc178" 3225
"379" "St3gal1" 3653
"380" "Ano2" 2997
"381" "Sncaip" 3593
"382" "ENSMOCG00000000382" 879
"383" "Cdc25b" 2263
"384" "Mustn1" 996
"385" "Tada2b" 3607
"386" "Il6st" 5045
"387" "Adam24" 2160
"388" "Timm8a1" 1244
"389" "ENSMOCG00000000389" 2153
"390" "Eif3b" 2942
"391" "ENSMOCG00000000391" 1206
"392" "ENSMOCG00000000392" 1826
"393" "Dhh" 2363
"394" "4930447F04Rik" 378
"395" "Mcl1" 936
"396" "Anpep" 2940
"397" "ENSMOCG00000000397" 513
"398" "Dusp10" 2620
"399" "Cdv3" 3198
"400" "4933408B17Rik" 860
"401" "Gm4847" 1620
"402" "Vip" 1502
"403" "ENSMOCG00000000403" 1437
"404" "ENSMOCG00000000404" 660
"405" "Rbm42" 1711
"406" "Trim31" 1446
"407" "Trappc2" 947
"408" "Atad2b" 4197
"409" "ENSMOCG00000000409" 1858
"410" "March4" 1230
"411" "Ube3b" 3207
"412" "ENSMOCG00000000412" 558
"413" "ENSMOCG00000000413" 1464
"414" "ENSMOCG00000000414" 924
"415" "ENSMOCG00000000415" 393
"416" "ENSMOCG00000000416" 378
"417" "Enam" 4053
"418" "Ccdc38" 1695
"419" "Irx6" 2481
"420" "BDNF" 771
"421" "Crb3" 351
"422" "Trim45" 2318
"423" "Cmpk2" 1738
"424" "Pfkp" 2773
"425" "ENSMOCG00000000425" 292
"426" "Rassf2" 978
"427" "Commd5" 1065
"428" "C2cd6" 1650
"429" "Hist1h2bc" 764
"430" "Sgcb" 3374
"431" "Ung" 1826
"432" "Slc22a2" 1697
"433" "Mfsd3" 1514
"434" "Adcy7" 7593
"435" "Adgrb2" 4929
"436" "Cox8b" 311
"437" "She" 1479
"438" "Spaca6" 1020
"439" "Zfp954" 1248
"440" "Trhde" 5128
"441" "Bsdc1" 2627
"442" "Iqsec1" 3524
"443" "Epc1" 2289
"444" "Rab23" 4197
"445" "ENSMOCG00000000445" 990
"446" "Pir" 1628
"447" "Eed" 2051
"448" "Msr1" 1566
"449" "ENSMOCG00000000449" 1319
"450" "Kcne4" 195
"451" "Sass6" 2697
"452" "Rab12" 1868
"453" "Lhfpl5" 1704
"454" "ENSMOCG00000000454" 828
"455" "Sf3b1" 3789
"456" "Nipbl" 9147
"457" "Tspo" 827
"458" "Hpca" 1522
"459" "Kcnn3" 4369
"460" "Hoxa13" 1946
"461" "Tmem190" 504
"462" "ENSMOCG00000000462" 1662
"463" "Twsg1" 4393
"464" "Zswim9" 3111
"465" "Gfm1" 2589
"466" "Lzts1" 3182
"467" "ENSMOCG00000000467" 1035
"468" "Cenpc1" 2676
"469" "Pycard" 689
"470" "Cadps" 4086
"471" "ENSMOCG00000000471" 1002
"472" "Isy1" 1352
"473" "Rab19" 707
"474" "Pax1" 1429
"475" "Btbd2" 2540
"476" "Galnt18" 1869
"477" "Pi15" 808
"478" "Gcnt3" 1919
"479" "ENSMOCG00000000479" 1142
"480" "ENSMOCG00000000480" 945
"481" "Ssr4" 934
"482" "Jagn1" 1200
"483" "Nupr1l" 487
"484" "ENSMOCG00000000484" 918
"485" "Olfr273" 1017
"486" "Nkx1-2" 927
"487" "ENSMOCG00000000487" 225
"488" "Bmp3" 1407
"489" "Ryr1" 11446
"490" "ENSMOCG00000000490" 525
"491" "Blzf1" 2499
"492" "ENSMOCG00000000492" 1389
"493" "Utp15" 4737
"494" "ENSMOCG00000000494" 1602
"495" "Gpi1" 2073
"496" "Cacng8" 1266
"497" "Necab3" 1806
"498" "Heyl" 966
"499" "Kif3c" 2280
"500" "Sept6" 1284
"501" "Atrn" 6387
"502" "Napb" 2766
"503" "Srpx" 1780
"504" "Xkr9" 1514
"505" "Cdpf1" 827
"506" "Mocs2" 1999
"507" "ENSMOCG00000000507" 1198
"508" "Mapre1" 2554
"509" "Zfp398" 3646
"510" "Sik1" 4396
"511" "2410002F23Rik" 2066
"512" "Pzp" 4657
"513" "Fam8a1" 990
"514" "ENSMOCG00000000514" 1230
"515" "Atp6v1b1" 1693
"516" "Sike1" 2379
"517" "ENSMOCG00000000517" 330
"518" "Ccdc65" 1820
"519" "Tmem246" 2097
"520" "ENSMOCG00000000520" 933
"521" "Madcam1" 1218
"522" "Pycr2" 1591
"523" "Gimap4" 824
"524" "ENSMOCG00000000524" 516
"525" "Cars2" 2284
"526" "Serpinb2" 1248
"527" "Akr1e1" 1342
"528" "Fcrlb" 1295
"529" "Tfpi2" 702
"530" "Crocc" 5976
"531" "Wdr77" 3700
"532" "ENSMOCG00000000532" 5479
"533" "ENSMOCG00000000533" 399
"534" "ENSMOCG00000000534" 234
"535" "Magohb" 766
"536" "Snx30" 1553
"537" "Ago1" 7453
"538" "Cdk20" 1223
"539" "Lgi4" 2997
"540" "Kcnh3" 3922
"541" "Plekhm1" 3734
"542" "Mmaa" 1364
"543" "ENSMOCG00000000543" 1104
"544" "Kcna10" 1921
"545" "Allc" 1242
"546" "ENSMOCG00000000546" 1170
"547" "Zmym4" 4467
"548" "Snrnp35" 1467
"549" "Fyb" 2469
"550" "Upf3a" 1068
"551" "Ppwd1" 2090
"552" "Il6ra" 1374
"553" "ENSMOCG00000000553" 981
"554" "Rmdn1" 3683
"555" "Bbs7" 2641
"556" "Dpp6" 2415
"557" "Rcn3" 766
"558" "Noxred1" 1098
"559" "Fxyd2" 467
"560" "D8Ertd738e" 285
"561" "Col27a1" 5325
"562" "Pfn4" 513
"563" "Lyzl1" 695
"564" "Nusap1" 1269
"565" "ENSMOCG00000000565" 228
"566" "Isca2" 864
"567" "Slc9a5" 3664
"568" "Ust" 1227
"569" "Fam219a" 2126
"570" "Fam81b" 1107
"571" "Por" 2446
"572" "Hectd4" 15373
"573" "Hes3" 603
"574" "Actn2" 2937
"575" "Neto2" 5585
"576" "Hdc" 2353
"577" "Gm128" 1050
"578" "ENSMOCG00000000578" 1452
"579" "Plppr4" 5518
"580" "Ssr3" 2931
"581" "Rem2" 1368
"582" "Mras" 3824
"583" "Gcsh" 1266
"584" "Ufd1" 1086
"585" "Pde5a" 2598
"586" "Adprh" 1509
"587" "Frmpd4" 3963
"588" "ENSMOCG00000000588" 468
"589" "ENSMOCG00000000589" 815
"590" "Ldb2" 1122
"591" "Aven" 912
"592" "Nkx1-1" 1326
"593" "Cecr2" 4542
"594" "Dctn2" 1823
"595" "Slc35a5" 2925
"596" "Ccdc97" 1377
"597" "Wdr86" 1508
"598" "Chst15" 3818
"599" "Slc4a7" 3636
"600" "ENSMOCG00000000600" 1503
"601" "Cst6" 604
"602" "Strn4" 2271
"603" "Il12rb1" 2053
"604" "Lhb" 426
"605" "Upk1b" 1670
"606" "Klhl5" 3651
"607" "Mesp1" 1008
"608" "Cdh7" 4154
"609" "ENSMOCG00000000609" 342
"610" "ENSMOCG00000000610" 669
"611" "ENSMOCG00000000611" 426
"612" "Phkg2" 1654
"613" "Rbm18" 2553
"614" "Ice2" 2829
"615" "ENSMOCG00000000615" 429
"616" "Secisbp2" 3253
"617" "ENSMOCG00000000617" 216
"618" "Chil1" 1176
"619" "Ldlrad3" 1041
"620" "Caml" 1366
"621" "ENSMOCG00000000621" 690
"622" "Prl4a1" 681
"623" "4930558K02Rik" 919
"624" "ENSMOCG00000000624" 486
"625" "Fbxl6" 1713
"626" "Rasl11a" 1155
"627" "ENSMOCG00000000627" 1023
"628" "Eci1" 992
"629" "ENSMOCG00000000629" 2061
"630" "ENSMOCG00000000630" 273
"631" "U2surp" 3652
"632" "ENSMOCG00000000632" 492
"633" "ENSMOCG00000000633" 660
"634" "Catsperd" 2076
"635" "Ube3a" 8065
"636" "ENSMOCG00000000636" 39
"637" "Csrp3" 911
"638" "Ap1m2" 1272
"639" "Nalcn" 7156
"640" "ENSMOCG00000000640" 2997
"641" "Rock1" 6423
"642" "Ppp2r5e" 3253
"643" "ENSMOCG00000000643" 279
"644" "Sh3bgr" 405
"645" "Npepl1" 1686
"646" "Wdr24" 3132
"647" "Kcna2" 11576
"648" "ENSMOCG00000000648" 480
"649" "ENSMOCG00000000649" 928
"650" "Invs" 3337
"651" "Khnyn" 3156
"652" "Kdelr1" 1584
"653" "Tmem198b" 1026
"654" "Rsrp1" 873
"655" "Il17rb" 1503
"656" "Kcnh5" 5428
"657" "Gsg1" 1310
"658" "Ranbp1" 1061
"659" "Calhm1" 1047
"660" "ENSMOCG00000000660" 666
"661" "Rpusd4" 1784
"662" "Cmbl" 1478
"663" "Grb7" 2123
"664" "Syndig1" 1897
"665" "Ostn" 1019
"666" "Mertk" 2961
"667" "ENSMOCG00000000667" 786
"668" "Wdr34" 1676
"669" "Nelfa" 2188
"670" "ENSMOCG00000000670" 1038
"671" "ENSMOCG00000000671" 393
"672" "Ssna1" 907
"673" "ENSMOCG00000000673" 2563
"674" "Plec" 14998
"675" "ENSMOCG00000000675" 849
"676" "Esyt2" 2654
"677" "Tmem14c" 906
"678" "Scaf11" 3948
"679" "ENSMOCG00000000679" 1052
"680" "Snrnp40" 1577
"681" "Crnkl1" 2016
"682" "BC048679" 504
"683" "ENSMOCG00000000683" 2292
"684" "Zfp612" 2019
"685" "Vezt" 2937
"686" "ENSMOCG00000000686" 1053
"687" "Tmem43" 3042
"688" "ENSMOCG00000000688" 957
"689" "Cers4" 1857
"690" "Nts" 954
"691" "Kcnk3" 3699
"692" "Adal" 2030
"693" "Wdr70" 2120
"694" "Dgkz" 2790
"695" "Uhrf2" 3563
"696" "Nipsnap1" 1902
"697" "Cyb5rl" 951
"698" "ENSMOCG00000000698" 538
"699" "Prkci" 2499
"700" "ENSMOCG00000000700" 1364
"701" "Slc6a3" 3458
"702" "Smarcc1" 3249
"703" "Tbc1d1" 4698
"704" "Slc20a1" 3334
"705" "ENSMOCG00000000705" 747
"706" "Knstrn" 1414
"707" "Hcn3" 3228
"708" "Dscaml1" 6333
"709" "ENSMOCG00000000709" 6958
"710" "Slc25a37" 4190
"711" "Cdh9" 3465
"712" "Hspa5" 2711
"713" "Gm20503" 456
"714" "ENSMOCG00000000714" 174
"715" "Kif17" 3546
"716" "ENSMOCG00000000716" 399
"717" "ENSMOCG00000000717" 1746
"718" "Acap2" 3540
"719" "ENSMOCG00000000719" 84
"720" "2210408I21Rik" 3819
"721" "Hspa12a" 2310
"722" "ENSMOCG00000000722" 894
"723" "ENSMOCG00000000723" 258
"724" "Trp53inp2" 3961
"725" "Txnrd2" 1452
"726" "Sulf2" 2526
"727" "Angptl2" 2081
"728" "Epb41l3" 3868
"729" "Pate10" 348
"730" "Tmprss15" 3177
"731" "P2ry4" 1563
"732" "Rnf128" 1886
"733" "Zc3h3" 3308
"734" "Spsb3" 1931
"735" "ENSMOCG00000000735" 27
"736" "Ern2" 2879
"737" "Aprt" 864
"738" "C030006K11Rik" 1767
"739" "ENSMOCG00000000739" 2058
"740" "Mybpc2" 3642
"741" "Wdr75" 2622
"742" "Zfp579" 1671
"743" "Taf4b" 4555
"744" "Hras" 882
"745" "ENSMOCG00000000745" 470
"746" "Gcn1" 8497
"747" "Adhfe1" 1898
"748" "Vtcn1" 831
"749" "Brpf3" 5602
"750" "1700057G04Rik" 699
"751" "Tmem184c" 1302
"752" "Wdr13" 4147
"753" "Prdm4" 3649
"754" "Rps27l" 514
"755" "Mbnl2" 4280
"756" "Il17rc" 2172
"757" "Clock" 7647
"758" "ENSMOCG00000000758" 582
"759" "Cd6" 1998
"760" "Krt32" 1446
"761" "ENSMOCG00000000761" 453
"762" "Slc45a4" 4142
"763" "Stkld1" 2233
"764" "Jakmip1" 2907
"765" "Rnf145" 3593
"766" "Ocstamp" 1497
"767" "Cyp4f17" 2441
"768" "Smim31" 213
"769" "Dscam" 6042
"770" "Yipf4" 1837
"771" "Dalrd3" 1711
"772" "Ctsz" 1316
"773" "Meis2" 3744
"774" "Idi1" 2624
"775" "Mrps25" 731
"776" "Lrrc26" 1431
"777" "ENSMOCG00000000777" 186
"778" "Wee2" 1973
"779" "Gm572" 1188
"780" "ENSMOCG00000000780" 2156
"781" "ENSMOCG00000000781" 1002
"782" "Gcm2" 1512
"783" "ENSMOCG00000000783" 1629
"784" "Ogn" 2862
"785" "Ubl4a" 613
"786" "Clec4e" 648
"787" "Susd1" 2259
"788" "Wfdc1" 1201
"789" "Tefm" 1293
"790" "Slc12a8" 2715
"791" "Bod1l" 9048
"792" "Chil6" 1284
"793" "ENSMOCG00000000793" 1263
"794" "Scnn1a" 2067
"795" "Slc35c2" 2752
"796" "ENSMOCG00000000796" 2062
"797" "Ankrd66" 1362
"798" "Zkscan4" 1437
"799" "Chrnd" 1566
"800" "ENSMOCG00000000800" 1297
"801" "ENSMOCG00000000801" 936
"802" "Nrros" 2389
"803" "ENSMOCG00000000803" 210
"804" "Zfp317" 1797
"805" "Fa2h" 2494
"806" "Krt1" 2031
"807" "Cyth3" 3434
"808" "Dipk2b" 1432
"809" "ENSMOCG00000000809" 87
"810" "Gpx6" 1049
"811" "Chic2" 1084
"812" "ENSMOCG00000000812" 312
"813" "Ect2l" 2868
"814" "Foxred2" 4635
"815" "Gbx2" 2074
"816" "Arhgap30" 3258
"817" "Adamtsl1" 5232
"818" "Rhoq" 2881
"819" "ENSMOCG00000000819" 951
"820" "Zfp146" 2903
"821" "Emb" 1005
"822" "Kctd16" 1281
"823" "ENSMOCG00000000823" 2073
"824" "Asic4" 2759
"825" "ENSMOCG00000000825" 365
"826" "A530084C06Rik" 459
"827" "Immt" 2748
"828" "Cmtr2" 2545
"829" "Vstm4" 2111
"830" "Card6" 3363
"831" "ENSMOCG00000000831" 3213
"832" "Stx6" 762
"833" "Esco1" 4256
"834" "Paip1" 2742
"835" "Rtl6" 3984
"836" "ENSMOCG00000000836" 552
"837" "Bmp15" 2433
"838" "Reg3g" 525
"839" "Rgp1" 1462
"840" "Atp8b2" 4475
"841" "ENSMOCG00000000841" 876
"842" "Slc35c1" 2761
"843" "ENSMOCG00000000843" 978
"844" "8030462N17Rik" 5235
"845" "Gsg1l" 975
"846" "ENSMOCG00000000846" 1155
"847" "Smyd2" 1649
"848" "Setx" 7659
"849" "Cd37" 1126
"850" "Map3k8" 2526
"851" "ENSMOCG00000000851" 2325
"852" "Fcmr" 1275
"853" "Vps13c" 13200
"854" "Akr1b3" 1396
"855" "Stxbp5l" 3558
"856" "Zfp346" 1269
"857" "Myl10" 444
"858" "ENSMOCG00000000858" 1323
"859" "Tmc4" 2097
"860" "Ska1" 1127
"861" "Krt75" 1964
"862" "Siglech" 912
"863" "Six1" 2847
"864" "Hsbp1l1" 238
"865" "Fgf13" 2021
"866" "Prpf40b" 3177
"867" "Acad11" 3367
"868" "Slc5a6" 1887
"869" "Aptx" 1817
"870" "Fas" 960
"871" "ENSMOCG00000000871" 2442
"872" "Whamm" 2731
"873" "Nek11" 1863
"874" "Plekhg2" 4059
"875" "Isg20l2" 1131
"876" "Spata31d1b" 3891
"877" "Stra8" 1101
"878" "Shb" 2733
"879" "Gabrr3" 1651
"880" "Ptprn" 3523
"881" "Parg" 2871
"882" "Prss37" 1195
"883" "ENSMOCG00000000883" 168
"884" "Hdac5" 3790
"885" "Bnc1" 4635
"886" "Pdrg1" 1214
"887" "ENSMOCG00000000887" 357
"888" "Parm1" 4858
"889" "Tac2" 737
"890" "Arhgef39" 972
"891" "Gk5" 1793
"892" "Dstn" 1748
"893" "Ppm1k" 3733
"894" "ENSMOCG00000000894" 1013
"895" "Tmem267" 1868
"896" "Lrch2" 4900
"897" "Jam3" 1916
"898" "Sfta2" 219
"899" "Lig1" 906
"900" "Egfr" 3627
"901" "Utp14b" 2343
"902" "ENSMOCG00000000902" 597
"903" "Faim" 1093
"904" "ENSMOCG00000000904" 243
"905" "Atp2a1" 3441
"906" "Brinp3" 2301
"907" "Ano7" 2712
"908" "ENSMOCG00000000908" 1126
"909" "Wnt5b" 2160
"910" "Prkn" 1275
"911" "Tab2" 4290
"912" "Elf4" 2895
"913" "Mmp9" 2133
